City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,San Patricio,US,28.017,-97.5169,94.86,54,99,4.05,overcast clouds
244,Sitka,US,57.0531,-135.33,62.49,82,75,6.91,broken clouds
245,Ust-Tarka,RU,55.5672,75.705,56.98,77,0,4.83,clear sky
246,Arawa,PG,-6.2132,155.5367,75.81,90,100,1.95,overcast clouds
247,Jalu,LY,29.0331,21.5482,86.47,32,0,12.01,clear sky
248,Bermeo,ES,43.4209,-2.7215,75.4,92,100,16.24,overcast clouds
249,Pevek,RU,69.7008,170.3133,43.52,85,45,1.59,scattered clouds
250,Churapcha,RU,62.0025,132.4325,45.23,97,100,8.3,overcast clouds
251,Constitucion,CL,-35.3333,-72.4167,58.14,71,97,13.94,overcast clouds
252,Evensk,RU,61.95,159.2333,51.08,93,100,11.36,moderate rain
253,Lodja,CD,-3.4833,23.4333,75.87,66,8,1.7,clear sky
254,Upington,ZA,-28.4478,21.2561,71.98,23,0,11.5,clear sky
255,Flinders,AU,-34.5833,150.8552,51.39,72,12,9.48,light rain
256,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,0.0,scattered clouds
257,Hervey Bay,AU,-25.2986,152.8535,50.23,61,0,6.78,clear sky
258,Turayf,SA,31.6725,38.6637,84.45,21,0,8.05,clear sky
259,Alyth,GB,56.6221,-3.2301,61.83,73,100,3.0,overcast clouds
260,Severo-Kurilsk,RU,50.6789,156.125,53.1,93,100,20.89,overcast clouds
261,Andenes,NO,69.3143,16.1194,51.93,93,0,4.61,clear sky
262,Tanabe,JP,33.7333,135.3667,77.86,92,50,2.93,scattered clouds
263,Turbat,PK,26.0023,63.044,87.98,52,100,10.16,overcast clouds
264,Inhambane,MZ,-23.865,35.3833,66.18,88,20,4.61,few clouds
265,Caarapo,BR,-22.6342,-54.8222,80.62,44,41,5.28,scattered clouds
266,East London,ZA,-33.0153,27.9116,75.61,35,1,11.59,clear sky
267,Inuvik,CA,68.3499,-133.7218,56.26,94,100,4.61,light rain
268,Mali,GN,12.079,-12.2982,59.77,96,100,3.53,light rain
269,Turukhansk,RU,65.8167,87.9833,55.8,99,100,7.31,moderate rain
270,Puerto Maldonado,PE,-12.6,-69.1833,93.6,29,0,5.75,clear sky
271,Fort Saint James,CA,54.4333,-124.25,86.05,35,5,1.12,clear sky
272,Mehamn,NO,71.0357,27.8492,48.11,93,0,1.14,clear sky
273,Teahupoo,PF,-17.8333,-149.2667,71.56,78,88,19.73,light rain
274,Koch Bihar,IN,26.3167,89.4333,81.39,82,32,3.65,scattered clouds
275,Onguday,RU,50.75,86.15,44.67,92,2,1.23,clear sky
276,Korla,CN,41.7597,86.1469,76.55,26,73,8.61,broken clouds
277,Konevo,RU,62.1215,39.3192,65.1,77,27,4.97,light rain
278,Paamiut,GL,61.994,-49.6678,41.72,99,100,9.51,overcast clouds
279,Krasnik,PL,50.9236,22.2271,73.27,52,30,8.43,scattered clouds
280,Makueni,KE,-1.8041,37.6203,63.63,62,18,9.37,few clouds
281,Daru,PG,-9.0763,143.2092,76.23,91,89,16.42,overcast clouds
282,Shimanovsk,RU,52.0,127.7,49.19,93,100,1.14,overcast clouds
283,Cabedelo,BR,-6.9811,-34.8339,79.47,79,58,18.01,broken clouds
284,Wanaka,NZ,-44.7,169.15,35.11,85,100,1.01,overcast clouds
285,Dobre Miasto,PL,53.9867,20.3975,67.3,92,25,6.17,scattered clouds
286,Senno,RU,59.5336,33.9167,73.11,47,96,6.89,overcast clouds
287,Alta Floresta,BR,-9.8756,-56.0861,100.22,23,20,5.75,few clouds
