City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Samarai,PG,79.95,broken clouds,-10.6167,150.6667,Nuli Sapi
429,Mentor,US,84.2,clear sky,41.6662,-81.3395,"Holiday Inn Cleveland Northeast - Mentor, an IHG Hotel"
435,Andros Town,BS,89.56,scattered clouds,24.7,-77.7667,Hanks place
436,Zunyi,CN,75.76,overcast clouds,27.6867,106.9072,Bishiluo Hostel
438,Tevaitoa,PF,75.76,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
440,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
446,Manaure,CO,87.66,few clouds,11.7751,-72.4445,Hotel Palaaima
449,Talaja,IN,78.89,overcast clouds,21.35,72.05,Tofik Memon
450,Kathu,TH,82.74,moderate rain,7.9178,98.3332,Novotel Phuket Resort
452,Marsh Harbour,BS,84.24,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
456,Craig,US,87.75,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
458,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
462,Palmer,US,87.17,broken clouds,42.1584,-72.3287,Wedgewood Motel
463,Sabang,ID,80.87,overcast clouds,5.8933,95.3214,Hotel Citra
464,Marakkanam,IN,80.02,overcast clouds,12.2,79.95,Samvasa by the Sea
466,Marti,CU,85.06,light rain,22.9475,-80.9203,Hotel Bibanasí
473,Nantucket,US,82.51,clear sky,41.2835,-70.0995,Jared Coffin House
474,Nchelenge,ZM,76.44,overcast clouds,-9.3451,28.734,KD Travellers Home
477,Kudahuvadhoo,MV,81.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
479,Mount Pleasant,US,87.13,light intensity drizzle,32.7941,-79.8626,Best Western Patriots Point
481,Padang,ID,75.58,light rain,-0.9492,100.3543,Mercure Padang
484,Alugan,PH,79.92,overcast clouds,12.2188,125.4808,JM Lodge
485,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
486,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
490,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
491,Kavieng,PG,80.08,broken clouds,-2.5744,150.7967,Nusa Island Retreat
493,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
495,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
497,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Pirineos
517,Naples,IT,79.75,broken clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
518,Ixtapa,MX,89.22,few clouds,20.7,-105.2,hotel la terminal
520,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
523,Tautira,PF,76.32,light rain,-17.7333,-149.15,Pension Oaoa
528,Indramayu,ID,77.67,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
530,San Jose,US,88.59,clear sky,37.3394,-121.895,The Westin San Jose
547,Broome,US,82.42,clear sky,42.2506,-75.833,Chenango Valley State Park
548,Goicea,RO,76.91,scattered clouds,43.9167,23.6167,Pensiune Restaurant Patty
553,Colon,PA,88.11,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
557,Russell,US,86.95,few clouds,32.3502,-85.1999,Macs
560,Matanzas,CU,81.36,broken clouds,23.0411,-81.5775,Hostal Sueños
565,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
570,Limon,CR,85.05,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
573,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
575,Chateau-Gontier,FR,82.56,scattered clouds,47.8333,-0.7,Logis Parc Hôtel & Spa
576,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
580,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
581,Winnemucca,US,89.65,clear sky,40.973,-117.7357,Winners Inn Casino
583,Marsaxlokk,MT,79.41,few clouds,35.8419,14.5431,Water's Edge
587,Buala,SB,78.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
